card_code,card_company,card_company_eng,card_link,card_name,card_type
16,씨티카드,citi,"https://www.banksalad.com/cards/16/issue",신세계 씨티카드 콰트로,credit
20,씨티카드,citi,"https://www.banksalad.com/cards/20/issue",갤러리아 씨티카드 프레스티지,credit
31,씨티카드,citi,"https://www.banksalad.com/cards/31/issue",신세계 씨티 리워드 카드,credit
236,기업카드,ibk,"https://www.banksalad.com/cards/236/issue",IBK hi 카드,credit
287,기업카드,ibk,"https://www.banksalad.com/cards/287/issue",Oil & Life카드(Oil),credit
289,기업카드,ibk,"https://www.banksalad.com/cards/289/issue",Oil & Life카드(Life),credit
291,기업카드,ibk,"https://www.banksalad.com/cards/291/issue",olleh Super DC IBK카드,credit
297,기업카드,ibk,"https://www.banksalad.com/cards/297/issue",IBK-Syrup카드[신용],credit
339,국민카드,kb,"https://www.banksalad.com/cards/339/issue",The CJ KB국민카드,credit
350,국민카드,kb,"https://www.banksalad.com/cards/350/issue",스카이패스 KB국민카드,credit
353,국민카드,kb,"https://www.banksalad.com/cards/353/issue",스타check,check
354,국민카드,kb,"https://www.banksalad.com/cards/354/issue",포인트리check,check
355,국민카드,kb,"https://www.banksalad.com/cards/355/issue",민 check,check
368,국민카드,kb,"https://www.banksalad.com/cards/368/issue",노리check,check
375,국민카드,kb,"https://www.banksalad.com/cards/375/issue",직장인보너스check,check
379,국민카드,kb,"https://www.banksalad.com/cards/379/issue",정 check,check
380,국민카드,kb,"https://www.banksalad.com/cards/380/issue",훈 check,check
381,국민카드,kb,"https://www.banksalad.com/cards/381/issue",음 check,check
416,국민카드,kb,"https://www.banksalad.com/cards/416/issue",KB국민 와이즈홈카드,credit
418,국민카드,kb,"https://www.banksalad.com/cards/418/issue",이마트 KB국민카드,credit
419,국민카드,kb,"https://www.banksalad.com/cards/419/issue",해피포인트 KB국민카드,credit
435,국민카드,kb,"https://www.banksalad.com/cards/435/issue",KB국민 반려애카드(강아지),credit
436,국민카드,kb,"https://www.banksalad.com/cards/436/issue",KB국민 반려애카드(고양이),credit
439,국민카드,kb,"https://www.banksalad.com/cards/439/issue",KB국민아이행복카드(T-type),credit
440,국민카드,kb,"https://www.banksalad.com/cards/440/issue",KB국민 GS행복가득카드,credit
472,국민카드,kb,"https://www.banksalad.com/cards/472/issue",KB국민 굿데이카드,credit
476,국민카드,kb,"https://www.banksalad.com/cards/476/issue",KB국민 굿데이올림카드,credit
491,국민카드,kb,"https://www.banksalad.com/cards/491/issue",KB국민 와이즈카드,credit
505,국민카드,kb,"https://www.banksalad.com/cards/505/issue",KB국민 마일리지 가온카드(대한항공),credit
506,국민카드,kb,"https://www.banksalad.com/cards/506/issue",KB국민 마일리지 가온카드(아시아나항공),credit
507,국민카드,kb,"https://www.banksalad.com/cards/507/issue",가온check,check
509,국민카드,kb,"https://www.banksalad.com/cards/509/issue",누리check,check
1210,NH카드,nh,"https://www.banksalad.com/cards/1210/issue",채움 스카이패스카드,credit
1239,삼성카드,samsung,"https://www.banksalad.com/cards/1239/issue",삼성아멕스블루카드,credit
1245,삼성카드,samsung,"https://www.banksalad.com/cards/1245/issue",스카이패스삼성카드,credit
1279,삼성카드,samsung,"https://www.banksalad.com/cards/1279/issue",American Express® Green,credit
1344,삼성카드,samsung,"https://www.banksalad.com/cards/1344/issue",CJ ONE 삼성카드,credit
1360,삼성카드,samsung,"https://www.banksalad.com/cards/1360/issue",삼성카드 4,credit
1375,삼성카드,samsung,"https://www.banksalad.com/cards/1375/issue",이마트신세계 삼성카드 7,credit
1376,삼성카드,samsung,"https://www.banksalad.com/cards/1376/issue",신세계이마트 삼성카드 7,credit
1392,삼성카드,samsung,"https://www.banksalad.com/cards/1392/issue",트레이더스신세계 삼성카드 5,credit
1495,신한카드,shinhan,"https://www.banksalad.com/cards/1495/issue",GS칼텍스 신한카드 Bigplus Smart,credit
1572,신한카드,shinhan,"https://www.banksalad.com/cards/1572/issue",신한 Hi-Point 카드,credit
1573,신한카드,shinhan,"https://www.banksalad.com/cards/1573/issue",신한 Hi-Point 카드,credit
1872,신한카드,shinhan,"https://www.banksalad.com/cards/1872/issue",신한카드 Simple Platinum#,credit
1892,신한카드,shinhan,"https://www.banksalad.com/cards/1892/issue",신한카드 S-Line 체크,check
1897,신한카드,shinhan,"https://www.banksalad.com/cards/1897/issue",신한카드 B.Big(삑),credit
1970,하나카드,hana,"https://www.banksalad.com/cards/1970/issue",프리머스 스카이패스카드,credit
2027,하나카드,hana,"https://www.banksalad.com/cards/2027/issue",Smart Any 카드,credit
2243,국민카드,kb,"https://www.banksalad.com/cards/2243/issue",KB국민 FINETECH카드(마일리지 대한항공),credit
2244,국민카드,kb,"https://www.banksalad.com/cards/2244/issue",KB국민 FINETECH카드(마일리지 아시아나),credit
